id,name
F00000ZNV7:FO,瀚亞策略印度傘型基金之印度策略收益平衡基金S類型-美元
F00000ZD36:FO,瀚亞策略印度傘型基金之印度策略收益平衡基金B類型新台幣
F00000ZNV6:FO,瀚亞策略印度傘型基金之印度策略收益平衡基金S類型-新臺幣
F00000ZD35:FO,瀚亞策略印度傘型基金之印度策略收益平衡基金A類型新台幣
F00000UG7F:FO,瀚亞全球高收益債券基金B-人民幣
F00000ZNV3:FO,瀚亞全球高收益債券基金S-人民幣
F0HKG05WVZ:FO,瀚亞威寶貨幣市場基金
F00000WUPW:FO,瀚亞精選傘型基金之債券精選組合基金B-美元
F0000111D0:FO,瀚亞多重收益優化組合基金B 類型南非幣
F000010ELJ:FO,瀚亞策略印度傘型基金之印度策略收益平衡基金IA類型新台幣
F00000WUPZ:FO,瀚亞精選傘型基金之債券精選組合基金A-人民幣
F00000WUPT:FO,瀚亞股債入息組合基金A-美元
F000011E0W:FO,瀚亞精選傘型基金之債券精選組合基金S-人民幣
F00000WUPV:FO,瀚亞股債入息組合基金A-人民幣
F000011E0V:FO,瀚亞精選傘型基金之債券精選組合基金S-美元
F00000WUPX:FO,瀚亞精選傘型基金之債券精選組合基金A-美元
F000011E0U:FO,瀚亞精選傘型基金之債券精選組合基金S-新台幣
F0HKG06YQP:FO,瀚亞精選傘型基金之債券精選組合基金A-新台幣
F00000PLRM:FO,瀚亞精選傘型基金之債券精選組合基金B-新台幣
F00000UG7E:FO,瀚亞全球高收益債券基金A-人民幣
F0000114S5:FO,瀚亞印度趨勢多重資產基金 S 類型人民幣
F0000114S4:FO,瀚亞印度趨勢多重資產基金 B 類型人民幣
F00000SGUZ:FO,瀚亞全球高收益債券基金B-澳幣
F00000SGUX:FO,瀚亞全球高收益債券基金A-澳幣
F0000111CY:FO,瀚亞多重收益優化組合基金B 類型澳幣
F0000111D4:FO,瀚亞多重收益優化組合基金S類型澳幣
F0000111D7:FO,瀚亞多重收益優化組合基金S類型人民幣
F0000111D1:FO,瀚亞多重收益優化組合基金B 類型人民幣
F00000VHM2:FO,瀚亞新興豐收基金A-人民幣
F00000VHM3:FO,瀚亞新興豐收基金B-人民幣
F00000SGUW:FO,瀚亞全球高收益債券基金A-美元
F00000SGUY:FO,瀚亞全球高收益債券基金B-美元
F00000ZNV5:FO,瀚亞全球高收益債券基金S-美元
F00000ZNV4:FO,瀚亞全球高收益債券基金S-新台幣
F00000JSMF:FO,瀚亞全球高收益債券基金A-新台幣
F00000JSMG:FO,瀚亞全球高收益債券基金B-新台幣
F00000QCEE:FO,瀚亞全球高收益債券基金C-新台幣
F00000VHM7:FO,瀚亞新興豐收基金B-澳幣
F00000VHM6:FO,瀚亞新興豐收基金A-澳幣
F00000QL5V:FO,瀚亞新興南非蘭特債券基金B類型
F00000QL5U:FO,瀚亞新興南非蘭特債券基金A類型
F00000UQ5J:FO,瀚亞亞太豐收平衡基金A-南非幣
F0000111CX:FO,瀚亞多重收益優化組合基金B 類型美元
F0000111D3:FO,瀚亞多重收益優化組合基金S類型美元
F0000111CQ:FO,瀚亞多重收益優化組合基金A 類型新臺幣
F0000111CR:FO,瀚亞多重收益優化組合基金A 類型美元
F0000111D2:FO,瀚亞多重收益優化組合基金S類型新臺幣
F00000UQ5K:FO,瀚亞亞太豐收平衡基金B-南非幣
F0000111CW:FO,瀚亞多重收益優化組合基金B 類型新臺幣
F0HKG06Z54:FO,瀚亞亞太不動產證券化基金B類型
F0000114S0:FO,瀚亞印度趨勢多重資產基金 A 類型美元
F0000114RX:FO,瀚亞印度趨勢多重資產基金A 類型新臺幣
F0000114S2:FO,瀚亞印度趨勢多重資產基金 S 類型美元
F0000114S1:FO,瀚亞印度趨勢多重資產基金 B 類型美元
F0000114RZ:FO,瀚亞印度趨勢多重資產基金S 類型新臺幣
F0000114RY:FO,瀚亞印度趨勢多重資產基金B 類型新臺幣
F0HKG06Z53:FO,瀚亞亞太不動產證券化基金A類型
F00000UQ5H:FO,瀚亞亞太豐收平衡基金A-澳幣
F00000UQ5I:FO,瀚亞亞太豐收平衡基金B-澳幣
F00000WUPU:FO,瀚亞股債入息組合基金B-人民幣
F00000V2ZS:FO,瀚亞亞太豐收平衡基金A-人民幣
F00000XJNF:FO,瀚亞全球多重資產收益基金A-人民幣
F00000V2ZT:FO,瀚亞亞太豐收平衡基金B-人民幣
F00000VHM1:FO,瀚亞新興豐收基金B-新台幣
F00000VHM0:FO,瀚亞新興豐收基金A-新台幣
F00000XJNG:FO,瀚亞全球多重資產收益基金B-人民幣
F00000VHM5:FO,瀚亞新興豐收基金B-美元
F00000XJNH:FO,瀚亞全球多重資產收益基金S類型-人民幣
F00000UO4A:FO,瀚亞亞太高股息基金B-人民幣
F00000UO49:FO,瀚亞亞太高股息基金A-人民幣
F00000XQT0:FO,瀚亞全球策略收益股票基金B-人民幣
F0HKG06056:FO,瀚亞股債入息組合基金A-新台幣
F00000QT58:FO,瀚亞股債入息組合基金B-新台幣
F00000WBEC:FO,瀚亞印度基金-人民幣
F00000SDL4:FO,瀚亞非洲基金-南非幣
F00000XQSZ:FO,瀚亞全球策略收益股票基金A-人民幣
F00000UQ5D:FO,瀚亞亞太豐收平衡基金A-新台幣
F00000UQ5G:FO,瀚亞亞太豐收平衡基金B-美元
F00000UQ5F:FO,瀚亞亞太豐收平衡基金A-美元
F00000UQ5E:FO,瀚亞亞太豐收平衡基金B-新台幣
F00000XJN4:FO,瀚亞全球多重資產收益基金B-新台幣
F00000XJN6:FO,瀚亞全球多重資產收益基金A-美元
F00000XJN7:FO,瀚亞全球多重資產收益基金B-美元
F00000XJN5:FO,瀚亞全球多重資產收益基金S類型-新臺幣
F00000XJN3:FO,瀚亞全球多重資產收益基金A-新台幣
F00000XJN8:FO,瀚亞全球多重資產收益基金S類型-美元
F00000UO42:FO,瀚亞亞太高股息基金B-新台幣
F00000XQT2:FO,瀚亞全球策略收益股票基金B-新台幣
F0HKG06WYK:FO,瀚亞亞太高股息基金A-新台幣
F00000UO44:FO,瀚亞亞太高股息基金B-美金
F00000UO43:FO,瀚亞亞太高股息基金A-美金
F00000XQT1:FO,瀚亞全球策略收益股票基金A-新台幣
F00000XQT4:FO,瀚亞全球策略收益股票基金B-美元
F00000WBEB:FO,瀚亞印度基金-美元
F0HKG0605N:FO,瀚亞印度基金-新台幣
F00000XQT3:FO,瀚亞全球策略收益股票基金A-美元
F0HKG070M7:FO,瀚亞亞太基礎建設基金
F00000263X:FO,瀚亞非洲基金-新臺幣
F0HKG05WY5:FO,瀚亞歐洲基金
F0HKG0604W:FO,瀚亞美國高科技基金
F000005O6X:FO,瀚亞巴西基金
F00000WBEE:FO,瀚亞中國A股基金-人民幣
F00000N745:FO,瀚亞中國A股基金-新台幣
F000010CMS:FO,國泰國泰基金新台幣I級別
F0HKG05X1A:FO,國泰國泰基金新台幣級別
F00000OC4L:FO,國泰價值卓越基金
F0HKG05WW8:FO,國泰小龍基金-台幣級別
F0HKG05WWH:FO,國泰中小成長基金-台幣級別
F000011JWE:FO,國泰小龍基金-美元I類型級別
F000011JWF:FO,國泰中小成長基金-美元I類型級別
F0HKG05WV7:FO,國泰大中華基金
F0HKG05WVH:FO,國泰科技生化基金
F00000V6XH:FO,國泰新興高收益債券基金(人民幣)-不配息A
F00000WA8J:FO,國泰中國高收益債券基金-CNY(A)不分配
F00000V6XI:FO,國泰新興高收益債券基金(人民幣)-配息B
F00000YK50:FO,國泰智富傘型基金之ETF安鑫組合基金-澳幣級別A(不配息型)
F00000QH6Q:FO,國泰紐幣八年期保本基金
F00000TVJF:FO,國泰紐幣2021保本基金
F00000QS9A:FO,國泰中國傘型基金之人民幣貨幣市場基金人民幣級別
F00000OTKJ:FO,國泰紐幣保本基金
F00000WPQZ:FO,國泰亞太入息平衡基金-人民幣級別A(不配息型)
F0HKG05X0G:FO,國泰台灣貨幣市場基金
F00000V6XE:FO,國泰新興高收益債券基金(美元)-不配息A
F00000MRGM:FO,國泰新興高收益債券基金(新台幣)-不配息A
F00000ZDZC:FO,國泰豐益債券組合基金美元級別
F00000HL8X:FO,國泰豐益債券組合基金台幣級別
F00000V6XG:FO,國泰新興高收益債券基金(美元)-不配息I
F00000WA8H:FO,國泰中國高收益債券基金-TWD(A)不分配
F00000WA8I:FO,國泰中國高收益債券基金-USD(A)不分配
F000010E20:FO,國泰主順位資產抵押高收益債券基金A 類型(不配息)新臺幣
F000010E23:FO,國泰主順位資產抵押高收益債券基金A 類型(不配息)美元
F00000WPR0:FO,國泰亞太入息平衡基金-澳幣級別A(不配息型)
F00000YK4X:FO,國泰智富傘型基金之ETF安鑫組合基金-台幣級別A(不配息型)
F00000YK4Z:FO,國泰智富傘型基金之ETF安鑫組合基金-美金級別A(不配息型)
F00000PB4Q:FO,國泰策略高收益債券基金-台幣級別A(不配息型)
F00000Y4YU:FO,國泰策略高收益債券基金-美金級別A(不配息型)
F00000UJ68:FO,國泰中國傘型基金之中國新興債券基金美元級別
F00000QS9B:FO,國泰中國傘型基金之中國新興債券基金台幣級別
F00000YK4Y:FO,國泰智富傘型基金之ETF安鑫組合基金-台幣級別B(配息型)
F00000WB1B:FO,國泰中國高收益債券基金-TWD(B)分配
F000010E22:FO,國泰主順位資產抵押高收益債券基金NB 類型(配息)新臺幣
F000010E21:FO,國泰主順位資產抵押高收益債券基金B 類型(配息)新臺幣
F00000V6XF:FO,國泰新興高收益債券基金(美元)-配息B
F000010E25:FO,國泰主順位資產抵押高收益債券基金NB 類型(配息)美元
F000010E24:FO,國泰主順位資產抵押高收益債券基金B 類型(配息)美元
F00000MROW:FO,國泰新興高收益債券基金(新台幣)-配息B
F00000WJP7:FO,國泰收益傘型基金之全球多重收益平衡基金-澳幣A(不配息型)
F00000T21M:FO,國泰中國傘型基金之人民幣貨幣市場基金美元級別
F00000WPQV:FO,國泰亞太入息平衡基金-台幣級別A(不配息型)
F00000WPQX:FO,國泰亞太入息平衡基金-美金級別A(不配息型)
F00000PE8U:FO,國泰策略高收益債券基金-台幣級別B(配息型)
F00000Y4YV:FO,國泰策略高收益債券基金-美金級別B(配息型)
F00000XJOD:FO,國泰全球高股息基金-人民幣級別
F0HKG06Z50:FO,國泰全球基礎建設基金台幣級別
F00000WPQW:FO,國泰亞太入息平衡基金-台幣級別B(配息型)
F00000VAY3:FO,國泰收益傘型基金之全球多重收益平衡基金-美元I(不配息型)
F00000WPQY:FO,國泰亞太入息平衡基金-美金級別B(配息型)
F00000TVJE:FO,國泰收益傘型基金之全球多重收益平衡基金-美元A(不配息型)
F00000TVJD:FO,國泰收益傘型基金之全球多重收益平衡基金-新台幣A(不配息型)
F00000UJ66:FO,國泰全球基礎建設基金美元級別
F00000TWHE:FO,國泰收益傘型基金之全球多重收益平衡基金-新台幣B(配息型)
F000010V9L:FO,國泰幸福階梯傘型基金之全球積極組合基金-澳幣A
F00000W0KR:FO,國泰歐洲精選基金-台幣級別
F00000TWHF:FO,國泰收益傘型基金之全球多重收益平衡基金-美元B(配息型)
F00000XJOE:FO,國泰全球高股息基金-澳幣級別
F00000W0KS:FO,國泰歐洲精選基金-美元級別
F000010REU:FO,國泰新中國傘型基金之中國新時代平衡基金-人民幣級別
F0HKG06GXG:FO,國泰幸福階梯傘型基金之全球積極組合基金-新台幣A
F00000TPS9:FO,國泰幸福階梯傘型基金之全球積極組合基金-美金級別
F00000V4OG:FO,國泰亞洲成長基金台幣級別
F00000XJOB:FO,國泰全球高股息基金-台幣級別
F00000XJOC:FO,國泰全球高股息基金-美金級別
F00000V4OH:FO,國泰亞洲成長基金美元級別
F000010V9K:FO,國泰幸福階梯傘型基金之全球積極組合基金-新台幣B
F00000UJ67:FO,國泰新興市場基金美元級別
F00000JPQ8:FO,國泰新興市場基金台幣級別
F000010RES:FO,國泰新中國傘型基金之中國新時代平衡基金-新台幣級別
F000010RET:FO,國泰新中國傘型基金之中國新時代平衡基金-美元級別
F00000ZUF9:FO,國泰中國內需增長基金人民幣級別
F00000YYKR:FO,國泰全球資源基金美元級別
F00000LOPR:FO,國泰全球資源基金台幣級別
F00000ZUFA:FO,國泰中國新興戰略基金人民幣級別
F00000V6X2:FO,國泰中國內需增長基金美元I級別
F00000TPS8:FO,國泰中國內需增長基金美元級別
F00000MLTJ:FO,國泰中國內需增長基金台幣級別
F00000ZUF8:FO,國泰中港台基金人民幣級別
F00000O46E:FO,國泰中國新興戰略基金台幣級別
F00000WAE8:FO,國泰中國新興戰略基金美元級別
F000005J95:FO,國泰中港台基金台幣級別
F00000UJHC:FO,國泰中港台基金美元級別
F0HKG05X20:FO,野村優質基金-累積類型新臺幣計價
F000010LE3:FO,野村優質基金-S類型新臺幣累積
F0HKG05X1P:FO,野村高科技基金
F0HKG05WZM:FO,野村ｅ科技基金
F0HKG05X3Z:FO,野村鴻利基金
F0HKG05WXW:FO,野村中小基金-累積類型
F0HKG06063:FO,野村平衡基金
F0HKG05X0X:FO,野村積極成長基金
F00000VQ50:FO,野村全球不動產證券化基金-月配類型人民幣計價
F0HKG05X0E:FO,野村成長基金
F00000VQ4Z:FO,野村全球不動產證券化基金-累積類型人民幣計價
F0HKG05WZB:FO,野村台灣運籌基金
F0HKG05WYE:FO,野村鴻運基金
F00001024R:FO,野村四年階梯到期新興市場債券基金季配類型人民幣
F00001024Q:FO,野村四年階梯到期新興市場債券基金累積類型人民幣
F000010M9Y:FO,野村中國境內新興債券基金(人民幣累積)
F000011USB:FO,野村六年階梯到期亞太新興債券基金(南非幣年配)
F000011USA:FO,野村六年階梯到期亞太新興債券基金(南非幣累積)
F000010YV2:FO,野村全球金融收益基金月配類型人民幣
F000010YUZ:FO,野村全球金融收益基金累積類型人民幣
F000010MA5:FO,野村五年階梯到期新興市場債券基金(新台幣累積)
F000011USK:FO,野村六年目標到期亞太新興債券基金(南非幣累積)
F000010MA9:FO,野村五年階梯到期新興市場債券基金(人民幣累積)
F000010MA4:FO,野村邊境市場高收益主權債基金(人民幣月配)
F0000112ZF:FO,野村六年目標到期新興市場債券基金人民幣
F000011USL:FO,野村六年目標到期亞太新興債券基金(南非幣年配)
F000010YV1:FO,野村全球金融收益基金月配類型美元
F0HKG0605X:FO,野村全球不動產證券化基金累積型新臺幣計價
F000010MAA:FO,野村五年階梯到期新興市場債券基金(人民幣季配)
F000010MA3:FO,野村邊境市場高收益主權債基金(人民幣累積)
F000010YUY:FO,野村全球金融收益基金累積類型美元
F00001024O:FO,野村四年階梯到期新興市場債券基金累積類型美元
F00001024P:FO,野村四年階梯到期新興市場債券基金季配類型美元
F0000112ZB:FO,野村六年目標到期新興市場債券基金新臺幣
F000010YV0:FO,野村全球金融收益基金月配類型新臺幣
F000010YUX:FO,野村全球金融收益基金累積類型新臺幣
F0HKG05WSW:FO,野村台灣高股息基金
F000011SEC:FO,野村六年階梯到期新興市場債券基金-人民幣
F000011US6:FO,野村六年階梯到期亞太新興債券基金(人民幣累積)
F000011US7:FO,野村六年階梯到期亞太新興債券基金(人民幣年配)
F000000KCZ:FO,野村全球不動產證券化基金月配型新臺幣計價
F0000112Z9:FO,野村 2024 目標到期新興市場企業債券基金累積類型人民幣
F0000112ZA:FO,野村 2024 目標到期新興市場企業債券基金季配類型人民幣
F000011USG:FO,野村六年目標到期亞太新興債券基金(人民幣累積)
F000011USH:FO,野村六年目標到期亞太新興債券基金(人民幣年配)
F00000UJFN:FO,野村亞太複合高收益債基金-月配類型人民幣計價
F0000112ZD:FO,野村六年目標到期新興市場債券基金美元
F00000UJFM:FO,野村亞太複合高收益債基金-累積類型人民幣計價
F00001024N:FO,野村四年階梯到期新興市場債券基金季配類型新臺幣
F00001024M:FO,野村四年階梯到期新興市場債券基金累積類型新臺幣
F000010MA2:FO,野村邊境市場高收益主權債基金(美元月配)
F000010MA1:FO,野村邊境市場高收益主權債基金(美元累積)
F000011US8:FO,野村六年階梯到期亞太新興債券基金(澳幣累積)
F000011SEB:FO,野村六年階梯到期新興市場債券基金-美元
F000010MA7:FO,野村五年階梯到期新興市場債券基金(美元累積)
F000011US2:FO,野村六年階梯到期亞太新興債券基金(新臺幣累積)
F000011US9:FO,野村六年階梯到期亞太新興債券基金(澳幣年配)
F000011SEA:FO,野村六年階梯到期新興市場債券基金-新臺幣
F000010MA8:FO,野村五年階梯到期新興市場債券基金(美元季配)
F000011US3:FO,野村六年階梯到期亞太新興債券基金(新臺幣年配)
F0000112Z8:FO,野村 2024 目標到期新興市場企業債券基金季配類型美元
F0000112Z7:FO,野村 2024 目標到期新興市場企業債券基金累積類型美元
F000010MA0:FO,野村邊境市場高收益主權債基金(新台幣月配)
F000010M9Z:FO,野村邊境市場高收益主權債基金(新台幣累積)
F000011US4:FO,野村六年階梯到期亞太新興債券基金(美元累積)
F000011US5:FO,野村六年階梯到期亞太新興債券基金(美元年配)
F000010S84:FO,野村全球短期收益基金-人民幣計價
F00000YMSR:FO,野村亞太複合高收益債基金-月配類型美元計價
F00000YMSQ:FO,野村亞太複合高收益債基金-累積類型美元計價
F000011USD:FO,野村六年目標到期亞太新興債券基金(新臺幣年配)
F000011USI:FO,野村六年目標到期亞太新興債券基金(澳幣累積)
F0HKG05X1Q:FO,野村鴻揚貨幣市場基金
F000011USJ:FO,野村六年目標到期亞太新興債券基金(澳幣年配)
F0HKG05WW7:FO,野村貨幣市場基金
F000011USC:FO,野村六年目標到期亞太新興債券基金(新臺幣累積)
F0HKG05X05:FO,野村精選貨幣市場基金
F000010YV3:FO,野村全球金融收益基金S 類型新臺幣
F00000WBEF:FO,野村亞太高股息基金-累積型人民幣計價
F000011USF:FO,野村六年目標到期亞太新興債券基金(美元年配)
F00000WLLX:FO,野村亞太高股息基金-季配型人民幣計價
F000010LE4:FO,野村全球不動產證券化基金-S類型新臺幣累積
F000010TRA:FO,野村邊境市場高收益主權債基金 S 新臺幣
F000010LE1:FO,野村中小基金-S類型新臺幣累積
F000010LEG:FO,野村鑫全球債券組合基金-S類型新臺幣累積
F000010TRB:FO,野村中國境內新興債券基金 S 新臺币
F000010LEE:FO,野村亞太高股息基金-S類型新臺幣累積
F000010LE6:FO,野村亞太複合高收益債基金-S類型新臺幣累積
F00000ZA2N:FO,野村多元收益平衡基金-S類型新臺幣累積
F000010LE8:FO,野村歐洲中小成長基金-S類型新臺幣累積
F000010LEB:FO,野村日本領先基金-S類型新臺幣累積
F0HKG05X00:FO,野村鑫全球債券組合基金-累積類型
F00000ML4Z:FO,野村亞太複合高收益債基金-月配型新臺幣計價
F00000ML4Y:FO,野村亞太複合高收益債基金-累積型新臺幣計價
F000011USE:FO,野村六年目標到期亞太新興債券基金(美元累積)
F000010MA6:FO,野村五年階梯到期新興市場債券基金(新台幣季配)
F00000Z00A:FO,野村亞太新興債券基金-月配類型美元計價
F00000Z009:FO,野村亞太新興債券基金-累積類型美元計價
F0000112Z6:FO,野村 2024 目標到期新興市場企業債券基金季配類型新臺幣
F0000112Z5:FO,野村 2024 目標到期新興市場企業債券基金累積類型新臺幣
F000010LE5:FO,野村新興高收益債組合基金-S類型新臺幣累積
F00000Z007:FO,野村亞太新興債券基金-累積類型新臺幣計價
F00000JSNB:FO,野村新興高收益債組合基金-月配型
F00000JSNA:FO,野村新興高收益債組合基金-累積型
F00000Z00C:FO,野村亞太新興債券基金-月配類型人民幣計價
F00000Z008:FO,野村亞太新興債券基金-月配類型新臺幣計價
F00000X1WK:FO,野村全球短期收益基金-美元計價
F00000Z00B:FO,野村亞太新興債券基金-累積類型人民幣計價
F00000X1WJ:FO,野村全球短期收益基金-新臺幣計價
F0HKG06ZDM:FO,野村全球生技醫療基金
F00000WIRW:FO,野村美利堅高收益債基金-月配類型人民幣計價
F00000UHOQ:FO,野村環球高收益債基金-月配類型人民幣計價
F00000UHOP:FO,野村環球高收益債基金-累積類型人民幣計價
F00000RW4O:FO,野村環球高收益債基金-累積類型美元計價
F00000RW4P:FO,野村環球高收益債基金-月配類型美元計價
F000010LE7:FO,野村環球高收益債基金-S類型新臺幣累積
F00000WIRU:FO,野村美利堅高收益債基金-月配類型美元計價
F00000RW4M:FO,野村環球高收益債基金-累積類型新臺幣計價
F00000ZA2P:FO,野村美利堅高收益債基金-S類型新臺幣累積
F00000RW4N:FO,野村環球高收益債基金-月配類型新臺幣計價
F00000WIRR:FO,野村美利堅高收益債基金-累積類型新臺幣計價
F00000WIRS:FO,野村美利堅高收益債基金-月配類型新臺幣計價
F0HKG05WYD:FO,野村泰國基金
F000010M9W:FO,野村中國境內新興債券基金(新台幣累積)
F000010M9X:FO,野村中國境內新興債券基金(美元累積)
F00000WPJB:FO,野村日本領先基金-累積類型
F00000XWQE:FO,野村核心配置多重資產基金-人民幣計價
F00000XWQD:FO,野村核心配置多重資產基金-美元計價
F00000ZA2O:FO,野村核心配置多重資產基金-S類型新臺幣累積
F00000XWQC:FO,野村核心配置多重資產基金-累積類型新臺幣計價
F00000ZTMO:FO,野村亞太收益多重資產基金-累積類型人民幣計價
F00000ZTMP:FO,野村亞太收益多重資產基金-月配類型人民幣計價
F00000X9RN:FO,野村多元收益平衡基金-月配類型人民幣計價
F00000X9RL:FO,野村多元收益平衡基金-月配類型美元計價
F00000ZTML:FO,野村亞太收益多重資產基金-月配類型新臺幣計價
F00000X9RK:FO,野村多元收益平衡基金-累積類型美元計價
F00000X9RM:FO,野村多元收益平衡基金-累積類型人民幣計價
F00000ZTMK:FO,野村亞太收益多重資產基金-累積類型新臺幣計價
F00000ZTMN:FO,野村亞太收益多重資產基金-月配類型美元計價
F00000ZTMM:FO,野村亞太收益多重資產基金-累積類型美元計價
F00000X9RI:FO,野村多元收益平衡基金-累積類型新臺幣計價
F00000X9RJ:FO,野村多元收益平衡基金-月配類型新臺幣計價
F0HKG05WT6:FO,野村鑫平衡組合基金-累積類型
F000010LEH:FO,野村鑫平衡組合基金-S類型新臺幣累積
F0HKG05X06:FO,野村新馬基金
F00000VWBW:FO,野村動態配置多重資產基金-累積類型澳幣計價
F00000VWBX:FO,野村動態配置多重資產基金-月配類型澳幣計價
F00000VWBY:FO,野村動態配置多重資產基金-累積類型南非幣計價
F0HKG06WYQ:FO,野村亞太高股息基金累積型新臺幣計價
F000000KD0:FO,野村亞太高股息基金季配型新臺幣計價
F00000VWBZ:FO,野村動態配置多重資產基金-月配類型南非幣計價
F0000020XE:FO,野村新興傘型基金之大俄羅斯基金
F00000VWBU:FO,野村動態配置多重資產基金-累積類型人民幣計價
F00000VWBV:FO,野村動態配置多重資產基金-月配類型人民幣計價
F00000ZA2M:FO,野村動態配置多重資產基金-S類型新臺幣累積
F00000VWBR:FO,野村動態配置多重資產基金-月配類型新臺幣計價
F00000VWBQ:FO,野村動態配置多重資產基金-累積類型新臺幣計價
F00000VWBT:FO,野村動態配置多重資產基金-月配類型美元計價
F00000VWBS:FO,野村動態配置多重資產基金-累積類型美元計價
F000010LE0:FO,野村環球基金-S類型新臺幣累積
F0HKG05WV9:FO,野村全球品牌基金
F0HKG05WXE:FO,野村環球基金-累積類型新臺幣計價
F00000WBWS:FO,野村環球基金-人民幣計價
F00000YYFJ:FO,野村環球基金-美元計價
F00000LWMU:FO,野村雙印傘型基金之印尼潛力基金
F00000VQ22:FO,野村全球高股息基金-季配類型人民幣計價
F00000VQ21:FO,野村全球高股息基金-累積類型人民幣計價
F000000KD2:FO,野村全球高股息基金季配型新臺幣計價
F000010LEF:FO,野村全球高股息基金-S類型新臺幣累積
F0HKG05WVI:FO,野村全球高股息基金累積型新臺幣計價
F00000V982:FO,野村歐洲中小成長基金-人民幣計價
F00000V981:FO,野村歐洲中小成長基金-美元計價
F00000V9ML:FO,野村歐洲中小成長基金-累積類型新臺幣計價
F000000KD1:FO,野村歐洲高股息基金季配型
F0HKG0605A:FO,野村歐洲高股息基金累積型
F00000LWMT:FO,野村雙印傘型基金之印度潛力基金
F00000H3G8:FO,野村巴西基金
F000002QO1:FO,野村中國機會基金
F0HKG05X3V:FO,元大店頭基金
F0HKG05WWU:FO,元大新主流基金
F0HKG05X2G:FO,元大高科技基金
F0HKG05X2Z:FO,元大2001基金
F0HKG05WW3:FO,元大多多基金
F00000WKCC:FO,元大全球不動產證券化基金-人民幣
F0HKG05X1M:FO,元大經貿基金
F0HKG05WWV:FO,元大多福基金
F00000TPLS:FO,元大中國機會債券基金-人民幣(B)配息
F00000TPLR:FO,元大中國機會債券基金-人民幣(A)不配息
F0HKG06GXQ:FO,元大全球不動產證券化基金(A)-不配息型
F0HKG0605M:FO,元大全球不動產證券化基金(B)-配息型
F00000WKCE:FO,元大全球不動產證券化基金-美元
F000011HND:FO,元大亞洲優選高收益債券基金B類型 (人民幣避險)
F00000LZBZ:FO,元大黃金期貨基金
F00000WZBT:FO,元大美元貨幣市場基金-新台幣
F000011HN9:FO,元大亞洲優選高收益債券基金A類型 (新台幣)
F000011HNA:FO,元大亞洲優選高收益債券基金B類型 (新台幣)
F00000TPLU:FO,元大人民幣貨幣市場基金-人民幣
F000011HNB:FO,元大亞洲優選高收益債券基金A類型 (美元)
F00000YRFD:FO,元大新興亞洲美元債券基金-新台幣(A)不配息
F000011HNC:FO,元大亞洲優選高收益債券基金B類型 (美元)
F00000WZBV:FO,元大美元貨幣市場基金-美元
F00000YRFF:FO,元大新興亞洲美元債券基金-新台幣(B)配息
F00000YRFG:FO,元大新興亞洲美元債券基金-美元(A)不配息
F00000YEY4:FO,元大澳幣貨幣市場基金-澳幣
F00000YRFH:FO,元大新興亞洲美元債券基金-美元(B)配息
