,基金id,計價幣別,基金公司/總代理人,成立時間,基金規模,投資策略
10,F0000127UU:FO,美元,群益證券投資信託股份有限公司,2015/11/06,0百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。 以誠信原則及專業經營方式，將本基金投資於前述(八)所列國內及外國之有價證券，並依下列規範進行投資： 1.基本投資方針(1)原則上，本基金自成立日起屆滿六個月後，①本基金投資於中華民國與前述所列大中華市場之國家或地區，以及其企業所發行而於美國、英國、法國、德國及盧森堡等國交易之「高成長」或「高股息」有價證券總金額，不得低於本基金淨資產價值之百分之六十（60%）（含）。所稱「高成長」係指，投資當時該有價證券發行企業之營收及獲利較前一年度預估成長百分之二十（20%）（含）以上者。上述所稱「營收及獲利預估」係指經理公司研究團隊對投資所在國或地區證券市場得投資之有價證券發行公司，所進行之營收及獲利研究預估結果。所稱「高股息」係指，投資當時該有價證券發行企業之股利率（股息÷股價）處於所屬交易市場中，高於市場平均水準之有價證券。上述所稱「市場平均水準」係指前一年度投資所在國家或地區證券市場股票之平均股利率。
11,F0000127UU:FO,新台幣,群益證券投資信託股份有限公司,2004/11/19,220百萬  截至 2019/03/21,經理公司應以分散風險、確保基金之安全，並積極追求中長期之投資利得及維持收益之安全為目標，以誠信原則及專業經營方式，將本基金投資於國內上市或上櫃股票、承銷股票、上市之債券換股權利證書、台灣存託憑證、上市證券投資信託基金受益憑證、政府債券、公司債、可轉換公司債、金融債券、依金融資產證券化條例公開招募之受益證券或資產基礎證券、依不動產證券化條例募集之不動產投資信託受益證券或不動產資產信託受益證券及其他經金管會核准於國內募集發行之國外金融組織債券。並應依下列規範進行投資： (1)本基金於成立日起三個月後，投資於國內之上市或上櫃股票、承銷股票、上市之債券換股權利證書、台灣存託憑證、上市證券投資信託基金受益憑證，每年平均不得超過本基金淨資產價值之百分之七十（70%），且每年平均不得低於本基金淨資產價值之百分之三十（30%）。
12,F0000127UU:FO,美元,群益證券投資信託股份有限公司,2015/11/18,0百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。 以誠信原則及專業經營方式，將本基金投資於前述(八)所列國內及外國之有價證券，並依下列規範進行投資： 1.基本投資方針(1)原則上，本基金自成立日起屆滿六個月後，①本基金投資於印度及其企業所發行而於美國、英國、盧森堡、新加坡及香港等國交易之中小型有價證券之總金額，不得低於本基金淨資產價值之百分之六十（60%）（含）。所稱「中小型有價證券」係指，投資當時該有價證券發行企業之市值是處於所屬交易市場中，個別企業市值由小至大之累計數佔所屬交易市場總市值之百分之四十（40%）（含）以內者。上述所稱「市值」係指，由彭博資訊（Bloomberg）所提供該企業普通股前一季季底之市值。如無法取得彭博資訊（Bloomberg）所提供之市值時，以路透社（Reuters）所提供之市值為準。②本基金依前述①規定持有之有價證券，日後若因股價上漲，使該等有價證券累計數超出所屬交易市場總市值之百分之四十（40%）（含）範圍者，就本基金於原買入之部分，於處分前，仍併入前述比例（60%）之計算。投資於國內及外國股票（含承銷股票）、存託憑證（含NVDR）之總金額，不得低於本基金淨資產價值之百分之七十（70%）（含）。
13,F0000127UU:FO,美元,群益證券投資信託股份有限公司,2018/03/02,0百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。 以誠信原則及專業經營方式，將本基金投資於前述(八)所列國內及外國之有價證券，並依下列規範進行投資： 1.基本投資方針(1)原則上，本基金自成立日起屆滿六個月後，①本基金投資於印度及其企業所發行而於美國、英國、盧森堡、新加坡及香港等國交易之中小型有價證券之總金額，不得低於本基金淨資產價值之百分之六十（60%）（含）。所稱「中小型有價證券」係指，投資當時該有價證券發行企業之市值是處於所屬交易市場中，個別企業市值由小至大之累計數佔所屬交易市場總市值之百分之四十（40%）（含）以內者。上述所稱「市值」係指，由彭博資訊（Bloomberg）所提供該企業普通股前一季季底之市值。如無法取得彭博資訊（Bloomberg）所提供之市值時，以路透社（Reuters）所提供之市值為準。②本基金依前述①規定持有之有價證券，日後若因股價上漲，使該等有價證券累計數超出所屬交易市場總市值之百分之四十（40%）（含）範圍者，就本基金於原買入之部分，於處分前，仍併入前述比例（60%）之計算。投資於國內及外國股票（含承銷股票）、存託憑證（含NVDR）之總金額，不得低於本基金淨資產價值之百分之七十（70%）（含）。
14,F0000127UU:FO,離岸人民幣,群益證券投資信託股份有限公司,2016/01/18,0百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。 以誠信原則及專業經營方式，將本基金投資於前述(八)所列國內及外國之有價證券，並依下列規範進行投資： 1.基本投資方針(1)原則上，本基金自成立日起屆滿六個月後，①本基金投資於中華民國與前述所列大中華市場之國家或地區，以及其企業所發行而於美國、英國、法國、德國及盧森堡等國交易之「高成長」或「高股息」有價證券總金額，不得低於本基金淨資產價值之百分之六十（60%）（含）。所稱「高成長」係指，投資當時該有價證券發行企業之營收及獲利較前一年度預估成長百分之二十（20%）（含）以上者。上述所稱「營收及獲利預估」係指經理公司研究團隊對投資所在國或地區證券市場得投資之有價證券發行公司，所進行之營收及獲利研究預估結果。所稱「高股息」係指，投資當時該有價證券發行企業之股利率（股息÷股價）處於所屬交易市場中，高於市場平均水準之有價證券。上述所稱「市場平均水準」係指前一年度投資所在國家或地區證券市場股票之平均股利率。
15,F0000127UU:FO,新台幣,群益證券投資信託股份有限公司,2011/12/14,0百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。 以誠信原則及專業經營方式，將本基金投資於前述(八)所列國內及外國之有價證券，並依下列規範進行投資： 1.基本投資方針(1)原則上，本基金自成立日起屆滿六個月後，①本基金投資於中華民國與前述所列大中華市場之國家或地區，以及其企業所發行而於美國、英國、法國、德國及盧森堡等國交易之「高成長」或「高股息」有價證券總金額，不得低於本基金淨資產價值之百分之六十（60%）（含）。所稱「高成長」係指，投資當時該有價證券發行企業之營收及獲利較前一年度預估成長百分之二十（20%）（含）以上者。上述所稱「營收及獲利預估」係指經理公司研究團隊對投資所在國或地區證券市場得投資之有價證券發行公司，所進行之營收及獲利研究預估結果。所稱「高股息」係指，投資當時該有價證券發行企業之股利率（股息÷股價）處於所屬交易市場中，高於市場平均水準之有價證券。上述所稱「市場平均水準」係指前一年度投資所在國家或地區證券市場股票之平均股利率。
16,F0000127UU:FO,美元,群益證券投資信託股份有限公司,2016/12/09,0百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。 以誠信原則及專業經營方式，將本基金投資於國內及海外新興市場之有價證券，並依下列規範進行投資： 1.本基金投資於中華民國之上市與上櫃之股票(含承銷股票)、受益憑證、存託憑證、政府公債、公司債(含次順位公司債)、可轉換公司債、金融債券(含次順位金融債券)、經財政部或金管會核准於我國境內募集發行之國際金融組織債券、依金融資產證券化條例公開招募之受益證券或資產基礎證券及依不動產證券化條例募集之封閉型不動產投資信託基金受益證券或不動產資產信託受益證券。 2.本基金投資外國有價證券，以在巴西、智利、捷克、埃及、匈牙利、印度、印尼、以色列、南韓、馬來西亞、墨西哥、奈及利亞、巴基斯坦、祕魯、菲律賓、波蘭、俄羅斯、南非、泰國、土耳其、越南、大陸（以上二十二個國家或地區，以下簡稱為海外新興市場）香港、澳門、新加坡等國家及地區之證券交易所及經金管會核准之店頭市場所交易之股票(含承銷股票)、受益憑證、基金股份、投資單位(含不動產投資信託基金受益證券、放空型ETF及商品ETF)、存託憑證（係指於海外新興市場、香港、澳門、新加坡等國家及地區發行並於美國、英國、法國、德國及盧森堡等證券交易所及經金管會核准之店頭市場所交易之存託憑證）；或符合金管會規定之信用評等等級以海外新興市場、香港、澳門、新加坡等國家或機構所保證或發行之債券(含金融資產受益證券、金融資產基礎證券及不動產資產信託受益證券)。
17,F0000127UU:FO,新台幣,群益證券投資信託股份有限公司,2017/12/01,0百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。 以誠信原則及專業經營方式，將本基金投資於前述(八)所列國內及外國之有價證券，並依下列規範進行投資： 1.基本投資方針(1)原則上，本基金自成立日起屆滿六個月後，①本基金投資於印度及其企業所發行而於美國、英國、盧森堡、新加坡及香港等國交易之中小型有價證券之總金額，不得低於本基金淨資產價值之百分之六十（60%）（含）。所稱「中小型有價證券」係指，投資當時該有價證券發行企業之市值是處於所屬交易市場中，個別企業市值由小至大之累計數佔所屬交易市場總市值之百分之四十（40%）（含）以內者。上述所稱「市值」係指，由彭博資訊（Bloomberg）所提供該企業普通股前一季季底之市值。如無法取得彭博資訊（Bloomberg）所提供之市值時，以路透社（Reuters）所提供之市值為準。②本基金依前述①規定持有之有價證券，日後若因股價上漲，使該等有價證券累計數超出所屬交易市場總市值之百分之四十（40%）（含）範圍者，就本基金於原買入之部分，於處分前，仍併入前述比例（60%）之計算。投資於國內及外國股票（含承銷股票）、存託憑證（含NVDR）之總金額，不得低於本基金淨資產價值之百分之七十（70%）（含）。
18,F0000127UU:FO,離岸人民幣,群益證券投資信託股份有限公司,2016/03/23,0百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。 以誠信原則及專業經營方式，將本基金投資於前述(八)所列國內及外國之有價證券，並依下列規範進行投資： 1.基本投資方針(1)原則上，本基金自成立日起屆滿六個月後，①本基金投資於印度及其企業所發行而於美國、英國、盧森堡、新加坡及香港等國交易之中小型有價證券之總金額，不得低於本基金淨資產價值之百分之六十（60%）（含）。所稱「中小型有價證券」係指，投資當時該有價證券發行企業之市值是處於所屬交易市場中，個別企業市值由小至大之累計數佔所屬交易市場總市值之百分之四十（40%）（含）以內者。上述所稱「市值」係指，由彭博資訊（Bloomberg）所提供該企業普通股前一季季底之市值。如無法取得彭博資訊（Bloomberg）所提供之市值時，以路透社（Reuters）所提供之市值為準。②本基金依前述①規定持有之有價證券，日後若因股價上漲，使該等有價證券累計數超出所屬交易市場總市值之百分之四十（40%）（含）範圍者，就本基金於原買入之部分，於處分前，仍併入前述比例（60%）之計算。投資於國內及外國股票（含承銷股票）、存託憑證（含NVDR）之總金額，不得低於本基金淨資產價值之百分之七十（70%）（含）。
19,F0000127UU:FO,新台幣,群益證券投資信託股份有限公司,2011/06/08,0百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。 以誠信原則及專業經營方式，將本基金投資於前述(八)所列國內及外國之有價證券，並依下列規範進行投資： 1.基本投資方針(1)原則上，本基金自成立日起屆滿六個月後，①本基金投資於印度及其企業所發行而於美國、英國、盧森堡、新加坡及香港等國交易之中小型有價證券之總金額，不得低於本基金淨資產價值之百分之六十（60%）（含）。所稱「中小型有價證券」係指，投資當時該有價證券發行企業之市值是處於所屬交易市場中，個別企業市值由小至大之累計數佔所屬交易市場總市值之百分之四十（40%）（含）以內者。上述所稱「市值」係指，由彭博資訊（Bloomberg）所提供該企業普通股前一季季底之市值。如無法取得彭博資訊（Bloomberg）所提供之市值時，以路透社（Reuters）所提供之市值為準。②本基金依前述①規定持有之有價證券，日後若因股價上漲，使該等有價證券累計數超出所屬交易市場總市值之百分之四十（40%）（含）範圍者，就本基金於原買入之部分，於處分前，仍併入前述比例（60%）之計算。投資於國內及外國股票（含承銷股票）、存託憑證（含NVDR）之總金額，不得低於本基金淨資產價值之百分之七十（70%）（含）。
20,F0000127UU:FO,離岸人民幣,群益證券投資信託股份有限公司,2017/12/01,0百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。 以誠信原則及專業經營方式，將本基金投資於前述(八)所列國內及外國之有價證券，並依下列規範進行投資： 1.基本投資方針(1)原則上，本基金自成立日起屆滿六個月後，①本基金投資於印度及其企業所發行而於美國、英國、盧森堡、新加坡及香港等國交易之中小型有價證券之總金額，不得低於本基金淨資產價值之百分之六十（60%）（含）。所稱「中小型有價證券」係指，投資當時該有價證券發行企業之市值是處於所屬交易市場中，個別企業市值由小至大之累計數佔所屬交易市場總市值之百分之四十（40%）（含）以內者。上述所稱「市值」係指，由彭博資訊（Bloomberg）所提供該企業普通股前一季季底之市值。如無法取得彭博資訊（Bloomberg）所提供之市值時，以路透社（Reuters）所提供之市值為準。②本基金依前述①規定持有之有價證券，日後若因股價上漲，使該等有價證券累計數超出所屬交易市場總市值之百分之四十（40%）（含）範圍者，就本基金於原買入之部分，於處分前，仍併入前述比例（60%）之計算。投資於國內及外國股票（含承銷股票）、存託憑證（含NVDR）之總金額，不得低於本基金淨資產價值之百分之七十（70%）（含）。
21,F0000127UU:FO,新台幣,群益證券投資信託股份有限公司,2009/07/29,496百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。以誠信原則及專業經營方式，將本基金投資於前述(八)所列國內及外國之有價證券，並依下列規範進行投資： 1.基本投資方針(1)原則上，本基金自成立日起屆滿六個月後，①投資於中華民國與亞太市場之有價證券，以及其企業所發行而於美國、英國、德國、法國及盧森堡等國交易之有價證券總金額，不得低於本基金淨資產價值之百分之六十（60%）（含）。②投資於國內及外國之上市、上櫃股票、承銷股票、存託憑證（含NVDR）之總金額，不得低於本基金淨資產價值之百分之七十（70%）（含）。
22,F0000127UU:FO,新台幣,群益證券投資信託股份有限公司,2010/04/20,894百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。以誠信原則及專業經營方式，將本基金投資於前述(八)所列國內及外國之有價證券，並依下列規範進行投資： 1.基本投資方針(1)原則上，本基金自成立日起屆滿六個月後，①投資於印度及巴西之有價證券，以及其企業所發行而於美國、英國及盧森堡等國交易之有價證券總金額，不得低於本基金淨資產價值之百分之六十（60%）（含）。②投資於國內及外國之上市、上櫃股票、承銷股票、存託憑證（含NVDR）之總金額，不得低於本基金淨資產價值之百分之七十（70%）（含）。
23,F0000127UU:FO,新台幣,群益證券投資信託股份有限公司,2010/07/14,320百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。以誠信原則及專業經營方式，將本基金投資於前述(八)所列國內及外國之有價證券，並依下列規範進行投資： 1.基本投資方針(1)原則上，本基金自成立日起屆滿六個月後，①本基金投資於中華民國與前述所列國家或地區，以及其企業所發行而於美國、英國及盧森堡等國交易之中小型有價證券之總金額，不得低於本基金淨資產價值之百分之六十（60%）（含）。所稱「中小型有價證券」係指，投資當時該有價證券發行企業之市值是處於所屬交易市場中，個別企業市值由小至大之累計數佔所屬交易市場總市值之百分之四十（40%）（含）以內者。上述所稱「市值」係指，由彭博資訊（Bloomberg）所提供該企業普通股前一季季底之市值。如無法取得彭博資訊（Bloomberg）所提供之市值時，以路透社（Reuters）所提供之市值為準。②本基金依前述①規定持有之有價證券，日後若因股價上漲，使該等有價證券累計數超出所屬交易市場總市值之百分之四十（40%）（含）範圍者，就本基金於原買入之部分，於處分前，仍得併入前述比例（60%）之計算。投資於國內及外國股票（含承銷股票）、存託憑證（含NVDR）之總金額，不得低於本基金淨資產價值之百分之七十（70%）（含）。
24,F0000127UU:FO,新台幣,群益證券投資信託股份有限公司,2007/02/12,0百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。 以誠信原則及專業經營方式，將本基金投資於國內及海外新興市場之有價證券，並依下列規範進行投資： 1.本基金投資於中華民國之上市與上櫃之股票(含承銷股票)、受益憑證、存託憑證、政府公債、公司債(含次順位公司債)、可轉換公司債、金融債券(含次順位金融債券)、經財政部或金管會核准於我國境內募集發行之國際金融組織債券、依金融資產證券化條例公開招募之受益證券或資產基礎證券及依不動產證券化條例募集之封閉型不動產投資信託基金受益證券或不動產資產信託受益證券。 2.本基金投資外國有價證券，以在巴西、智利、捷克、埃及、匈牙利、印度、印尼、以色列、南韓、馬來西亞、墨西哥、奈及利亞、巴基斯坦、祕魯、菲律賓、波蘭、俄羅斯、南非、泰國、土耳其、越南、大陸（以上二十二個國家或地區，以下簡稱為海外新興市場）香港、澳門、新加坡等國家及地區之證券交易所及經金管會核准之店頭市場所交易之股票(含承銷股票)、受益憑證、基金股份、投資單位(含不動產投資信託基金受益證券、放空型ETF及商品ETF)、存託憑證（係指於海外新興市場、香港、澳門、新加坡等國家及地區發行並於美國、英國、法國、德國及盧森堡等證券交易所及經金管會核准之店頭市場所交易之存託憑證）；或符合金管會規定之信用評等等級以海外新興市場、香港、澳門、新加坡等國家或機構所保證或發行之債券(含金融資產受益證券、金融資產基礎證券及不動產資產信託受益證券)。
25,F0000127UU:FO,美元,群益證券投資信託股份有限公司,2018/03/14,0百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。以誠信原則及專業經營方式，將本基金投資於前述(八)所列國內及外國之有價證券，並依下列規範進行投資： 1.基本投資方針(1)原則上，本基金自成立日起屆滿六個月後，①投資於中華民國、大陸地區及香港之有價證券，以及其企業所發行而於美國交易之有價證券總金額，不得低於本基金淨資產價值之百分之六十（60%）（含）。②投資於國內及外國之上市、上櫃股票、承銷股票、存託憑證（含NVDR）之總金額，不得低於本基金淨資產價值之百分之七十（70%）（含）。
26,F0000127UU:FO,美元,群益證券投資信託股份有限公司,2015/06/01,0百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。以誠信原則及專業經營方式，將本基金投資於前述(八)所列國內及外國之有價證券，並依下列規範進行投資： 1.基本投資方針(1)原則上，本基金自成立日起屆滿六個月後，①投資於中華民國、大陸地區及香港之有價證券，以及其企業所發行而於美國交易之有價證券總金額，不得低於本基金淨資產價值之百分之六十（60%）（含）。②投資於國內及外國之上市、上櫃股票、承銷股票、存託憑證（含NVDR）之總金額，不得低於本基金淨資產價值之百分之七十（70%）（含）。
27,F0000127UU:FO,新台幣,群益證券投資信託股份有限公司,2018/02/05,0百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。以誠信原則及專業經營方式，將本基金投資於前述(八)所列國內及外國之有價證券，並依下列規範進行投資： 1.基本投資方針(1)原則上，本基金自成立日起屆滿六個月後，①投資於中華民國、大陸地區及香港之有價證券，以及其企業所發行而於美國交易之有價證券總金額，不得低於本基金淨資產價值之百分之六十（60%）（含）。②投資於國內及外國之上市、上櫃股票、承銷股票、存託憑證（含NVDR）之總金額，不得低於本基金淨資產價值之百分之七十（70%）（含）。
28,F0000127UU:FO,新台幣,群益證券投資信託股份有限公司,2009/12/22,0百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。以誠信原則及專業經營方式，將本基金投資於前述(八)所列國內及外國之有價證券，並依下列規範進行投資： 1.基本投資方針(1)原則上，本基金自成立日起屆滿六個月後，①投資於中華民國、大陸地區及香港之有價證券，以及其企業所發行而於美國交易之有價證券總金額，不得低於本基金淨資產價值之百分之六十（60%）（含）。②投資於國內及外國之上市、上櫃股票、承銷股票、存託憑證（含NVDR）之總金額，不得低於本基金淨資產價值之百分之七十（70%）（含）。
29,F0000127UU:FO,離岸人民幣,群益證券投資信託股份有限公司,2015/06/01,0百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。以誠信原則及專業經營方式，將本基金投資於前述(八)所列國內及外國之有價證券，並依下列規範進行投資： 1.基本投資方針(1)原則上，本基金自成立日起屆滿六個月後，①投資於中華民國、大陸地區及香港之有價證券，以及其企業所發行而於美國交易之有價證券總金額，不得低於本基金淨資產價值之百分之六十（60%）（含）。②投資於國內及外國之上市、上櫃股票、承銷股票、存託憑證（含NVDR）之總金額，不得低於本基金淨資產價值之百分之七十（70%）（含）。
30,F0000127UU:FO,離岸人民幣,群益證券投資信託股份有限公司,2018/01/04,0百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。以誠信原則及專業經營方式，將本基金投資於前述(八)所列國內及外國之有價證券，並依下列規範進行投資： 1.基本投資方針(1)原則上，本基金自成立日起屆滿六個月後，①投資於中華民國、大陸地區及香港之有價證券，以及其企業所發行而於美國交易之有價證券總金額，不得低於本基金淨資產價值之百分之六十（60%）（含）。②投資於國內及外國之上市、上櫃股票、承銷股票、存託憑證（含NVDR）之總金額，不得低於本基金淨資產價值之百分之七十（70%）（含）。
31,F0000127UU:FO,美元,群益證券投資信託股份有限公司,2014/06/25,0百萬  截至 2019/03/20,經理公司應以分散風險、確保基金之安全，並積極追求長期之投資利得及維持收益之安定為目標。以誠信原則及專業經營方式，將本基金投資於前述(八)所列國內及外國之有價證券，並依下列規範進行投資： 1.原則上，本基金自成立日起屆滿六個月後， (1)投資於國內及外國股票（含承銷股票）、存託憑證（含 NVDR）之總金額，不得低於本基金淨資產價值之百分之七十（70%）（含）。 (2)投資於「工業國」前一年度股利率（股息÷股價）高於市場平均水準之有價證券，不得低於本基金淨資產價值之百分之六十（60%）(含)。 所稱「工業國」指美國、德國、日本、法國、英國、義大利、加拿大、澳洲等國家。 所稱「市場平均水準」係指前一年度投資所在國家或地區證券市場股票之平均股利率。 (3)本基金依前述(2)規定持有之有價證券，日後若因年度更替，以致持有該等有價證券總金額低於本基金淨資產價值之百分之六十（60%）者，經理公司應於三個月內採取適當處置，以符合前述投資比例限制。
