單詞	TF	DF	TF-IDF
持有	469	316	3.141659163
未達	466	278	3.343391591
加權	458	433	2.63202911
該國	452	382	2.826840778
整體	440	430	2.630511129
及經	411	361	2.883644549
產業	407	164	4.117131076
不受	400	326	3.033777107
策略	397	269	3.331397637
述所	394	184	3.921369337
本國	393	265	3.35071303
企業	392	305	3.130297197
均存	391	386	2.761896164
主要	391	313	3.088938595
別股	384	174	3.996179025
於新	378	173	3.997508716
達本	377	308	3.100333191
任一	373	293	3.173762963
判斷	371	339	2.945632322
擔保	361	308	3.084005852
法令	356	308	3.078754857
含指	356	290	3.17163493
受前	355	344	2.907257422
調整	348	234	3.492831753
經濟	346	214	3.62768659
英國	343	282	3.200156764
大陸	339	215	3.611440396
成?	335	263	3.297664512
目的	333	283	3.183109866
期貨	329	154	4.107841416
營業	328	173	3.928656478
一年	327	308	3.046764271
銷售	323	280	3.187385802
管理	321	262	3.286121993
日本	320	262	3.284852104
境外	316	252	3.338879889
應達	312	265	3.257270641
條?	308	171	3.915742624
以及	303	258	3.285896312
股價	302	140	4.208454122
等國	301	270	3.214500707
下述	301	113	4.530391349
之目	299	274	3.189626777
槓桿	297	206	3.617168594
生效	296	244	3.360424533
成分	296	124	4.380873705
上述	296	190	3.737532562
列信	294	137	4.226982247
掛牌	293	167	3.927042464
或經	292	251	3.312135993
全球	290	215	3.542078371
短期	288	133	4.26058737
運用	287	176	3.838037464
十以	285	206	3.598512164
以下	284	179	3.807623584
從事	283	128	4.308663252
含本	283	137	4.206798972
交換	282	229	3.435123347
額?	280	159	3.978207879
比?	279	150	4.063608673
註冊	278	149	4.071774488
範圍	276	260	3.236099884
銀行	267	122	4.348556966
且投	267	254	3.257302609
依據	266	189	3.695412064
發生	260	222	3.446044639
台灣	260	230	3.393539896
所謂	258	250	3.266665141
印尼	257	204	3.566180872
期債	255	182	3.731456433
資訊	254	201	3.582754878
採取	254	254	3.236695549
未經	253	131	4.213676531
修正	253	191	3.656374464
行或	251	229	3.38476968
月內	249	216	3.467511956
級者	248	248	3.26206752
簡稱	248	106	4.515115154
券發	248	186	3.686166024
配置	247	107	4.49894599
指?	246	131	4.198588792
及依	242	224	3.401423055
述之	241	185	3.680580803
西亞	241	199	3.573433944
於上	239	212	3.476762183
集中	238	202	3.545743971
述國	235	165	3.836165923
有關	232	215	3.442938163
關法	230	214	3.445897926
買回	229	123	4.252027728
契約	229	207	3.492485734
依經	229	222	3.390405099
前一	228	199	3.547988733
計價	227	198	3.5533143
亞洲	227	151	3.948279087
所?	225	121	4.266209219
德國	225	214	3.436113615
包含	225	156	3.896331987
日後	222	220	3.38995207
之基	222	194	3.572733051
並應	221	209	3.462466826
表現	215	165	3.792206916
家之	213	134	4.088404175
海外	211	113	4.329455969
所述	211	136	4.061982657
以外	210	197	3.524825815
證之	207	188	3.585537747
追蹤	205	137	4.036136939
人之	205	135	4.057288444
國外	204	179	3.649193222
處置	203	203	3.466108605
經信	202	78	4.836908791
應依	198	197	3.497713286
於成	196	190	3.544765261
內及	196	150	3.88275598
定義	194	178	3.633124536
系統	193	143	3.943048196
摩根	190	93	4.547528198
相當	188	178	3.618047618
之二	187	132	4.040323874
群島	186	97	4.474916276
含政	184	184	3.560720333
前開	184	143	3.918158417
韓國	182	148	3.863803372
從其	182	166	3.701300638
型或	182	111	4.271112572
而於	180	164	3.712988794
法國	179	173	3.634755598
顯示	178	139	3.940928566
選擇	178	87	4.602374564
或其	178	171	3.648451516
基本	178	130	4.035422982
利率	178	102	4.377832563
高於	176	157	3.763340276
泰國	174	164	3.696195334
具有	174	160	3.730946548
提供	173	152	3.800196591
保持	172	160	3.725165941
科技	171	71	4.863050672
為主	171	155	3.766827853
分析	171	83	4.643789705
森堡	166	160	3.707411996
於基	166	136	3.934690684
管機	165	70	4.859538072
為中	165	151	3.785288049
目所	162	91	4.481799272
最高	162	162	3.67790042
最近	161	91	4.478044131
合本	161	161	3.683442437
不含	161	99	4.360694179
美元	160	146	3.816423032
瑞士	157	152	3.750733183
所稱	157	126	4.011112852
之指	157	126	4.011112852
計入	156	156	3.711454685
若因	156	156	3.711454685
理之	156	156	3.711454685
券不	155	116	4.118697584
義大	154	150	3.759235269
漲幅	154	74	4.737356409
所及	154	148	3.777817061
參與	153	125	4.008066353
澳洲	152	141	3.838042851
於美	152	136	3.887934809
成長	151	99	4.322824751
之規	150	144	3.802063998
大利	149	125	3.993586629
之資	149	133	3.908095825
之高	147	86	4.500609287
財政	146	141	3.816944963
金得	145	143	3.794006686
述比	145	140	3.823116568
在此	145	145	3.774937425
匯率	145	77	4.643925654
認購	144	118	4.053977805
的債	144	53	5.151843993
且不	144	144	3.780841086
區域	143	96	4.332845246
權證	142	115	4.081436934
及上	142	117	4.057832531
九十	142	142	3.792717255
累計	141	67	4.816342389
挪威	140	138	3.824346513
南韓	137	128	3.915384944
資本	135	90	4.386251883
奧地	134	132	3.861591634
二十	134	81	4.524815889
股利	133	44	5.348030397
發展	133	117	4.021226939
或交	133	120	3.98687899
之日	133	120	3.98687899
列標	132	132	3.853526812
穩定	131	86	4.429496214
服務	131	87	4.413845014
愛爾	130	128	3.886953478
亞太	130	72	4.665057775
複製	129	93	4.314290167
瑞典	128	125	3.910552718
可之	128	128	3.87854859
機會	127	66	4.767155676
區或	127	104	4.15418733
市及	126	106	4.123944409
含當	126	62	4.846064659
英屬	125	54	5.02646383
當日	125	63	4.819135646
約定	124	124	3.903990459
於經	124	100	4.192983126
多元	124	100	4.192983126
因信	124	124	3.903990459
總體	122	72	4.623734376
降低	121	76	4.54599223
定達	121	73	4.599912404
避險	120	50	5.100606818
上者	120	120	3.929867493
流動	119	119	3.936406576
比重	119	88	4.339500953
情況	119	103	4.129273317
並由	119	119	3.936406576
決定	118	58	4.890508426
含短	117	111	4.019717868
研究	115	56	4.919347902
篩選	114	77	4.490473381
日前	114	114	3.969533612
年度	114	40	5.359951071
如有	114	114	3.969533612
醫療	113	59	4.837906601
業之	113	77	4.484852537
之一	113	97	4.17868675
越南	112	105	4.068456411
由發	112	112	3.982990722
歐洲	112	93	4.229169565
股息	111	55	4.918467129
波動	111	66	4.677334661
報酬	111	99	4.141079903
列入	111	61	4.781527647
的之	110	108	4.020805573
或未	110	78	4.450643024
登記	109	103	4.078092237
部或	108	107	4.022525391
條件	108	24	5.991740783
得高	108	101	4.098550283
工具	108	103	4.072718098
外匯	108	75	4.490650972
政策	107	88	4.274366139
如因	107	97	4.14625634
操作	106	102	4.074637284
以追	106	87	4.283628194
荷蘭	105	103	4.056291942
澳門	104	64	4.674203906
巴西	104	98	4.115913648
可能	102	66	4.620931823
高流	101	101	4.059229177
於亞	101	87	4.253915575
或認	100	100	4.06635456
券經	100	28	5.724880466
以達	100	74	4.458659401
同時	99	76	4.417477276
入前	99	99	4.073513643
景氣	98	33	5.494695589
為限	97	97	4.087934098
款所	97	71	4.492681647
所訂	97	97	4.087934098
集團	96	59	4.72570553
芬蘭	96	95	4.108758327
區及	96	92	4.150318597
價格	96	62	4.661468368
債市	96	88	4.207891806
中央	96	85	4.252815984
優先	95	83	4.277123062
南非	94	88	4.194990782
能源	93	70	4.483458552
債及	93	78	4.343950057
設備	92	29	5.610608986
是否	92	34	5.405867798
得於	92	92	4.124595912
及國	92	92	4.124595912
換股	91	83	4.250288428
合計	91	60	4.667296786
丹麥	91	91	4.132035369
彭博	89	78	4.316010268
國股	89	82	4.25195173
八所	89	89	4.147023777
五個	89	88	4.16149742
項目	88	87	4.169188027
達到	88	88	4.154573324
許可	88	88	4.154573324
至少	88	88	4.154573324
由上	87	77	4.318038538
於銀	87	81	4.253385888
外幣	87	49	4.895050427
券?	87	44	5.032453561
且每	87	87	4.162160161
每季	86	51	4.835705252
所或	86	72	4.396227955
或金	86	83	4.215035599
存款	86	62	4.586796652
團隊	86	68	4.469072723
動性	86	74	4.361309702
二年	86	76	4.327322715
使該	85	85	4.177446871
中心	85	74	4.353760411
者為	84	47	4.922596245
為新	84	84	4.185147319
水準	84	33	5.371718516
成份	84	59	4.633811519
建構	84	55	4.722970813
區註	84	84	4.185147319
限於	83	66	4.483434182
調升	83	83	4.192886205
之比	83	77	4.288011275
貿易	82	40	5.109056525
比率	82	80	4.231911154
影響	82	82	4.200663806
點所	81	37	5.198189257
詳如	81	75	4.305692884
評估	81	53	4.744249943
有下	81	67	4.448169271
年後	81	77	4.272450465
及追	81	79	4.240060511
及中	80	80	4.216336224
但不	80	52	4.759465585
變化	79	69	4.394548286
證書	79	71	4.358590884
其中	79	79	4.224231559
信評	79	56	4.657250241
開發	78	52	4.741439223
重大	78	59	4.582811686
部分	78	78	4.232166643
有該	78	78	4.232166643
後三	78	70	4.368085148
比亞	77	55	4.66193893
本款	77	64	4.471957949
及具	77	77	4.24014171
券者	77	77	4.24014171
三年	77	77	4.24014171
匈牙	76	73	4.298544525
依其	75	75	4.256212682
買入	74	74	4.264308994
惟資	74	74	4.264308994
得為	74	48	4.803697249
得以	74	74	4.264308994
國等	74	63	4.464842956
四十	74	67	4.388136189
合的	74	51	4.728153423
權利	73	68	4.360676382
得依	73	73	4.272446102
逐年	72	39	5.041440063
由下	72	62	4.466181648
及美	72	71	4.29798003
?股	71	57	4.560806319
島等	71	71	4.288843338
其債	71	71	4.288843338
保健	71	46	4.826307011
配息	70	22	5.727264405
與印	70	37	5.084900892
美洲	70	70	4.297103726
消費	70	52	4.664390794
市值	70	16	6.120749141
大?	70	47	4.789306205
國上	70	69	4.314882599
及貨	70	58	4.529463015
入時	70	70	4.297103726
運動	69	5	7.541350136
通訊	69	45	4.832399655
種類	69	65	4.379033063
智慧	69	15	6.186874896
捷克	69	66	4.36020985
工業	69	48	4.752830339
制時	69	69	4.305405428
制或	69	69	4.305405428
利證	69	52	4.654145965
違反	68	68	4.313748509
以現	68	52	4.643751572
預期	67	67	4.322133005
臺灣	67	60	4.457568549
櫃檯	67	67	4.322133005
檢視	67	62	4.417324002
情事	67	60	4.457568549
年內	67	62	4.417324002
受惠	67	65	4.359328236
不符	67	67	4.322133005
買賣	66	65	4.349254124
或基	66	66	4.330558916
後因	66	66	4.330558916
前項	66	64	4.368239192
之最	66	65	4.349254124
不同	66	36	5.072779707
透過	65	53	4.588355774
所屬	65	36	5.060850307
嗣後	65	65	4.339026203
及資	65	63	4.377205334
列指	65	65	4.339026203
重要	64	30	5.270932775
現金	64	54	4.554592184
法?	64	60	4.42618843
政治	64	64	4.347534787
性及	64	64	4.347534787
希臘	64	64	4.347534787
十之	64	64	4.347534787
前款	64	63	4.366727443
之發	64	50	4.648385257
由印	63	38	4.970699221
所定	63	55	4.521183655
及特	63	63	4.35608454
參考	63	49	4.661617079
之銀	63	59	4.435833659
且自	63	63	4.35608454
連動	62	62	4.364675281
資源	62	53	4.554881331
由中	62	35	5.058092164
涵蓋	62	62	4.364675281
分股	62	32	5.166766648
以色	62	59	4.424822499
銀?	61	26	5.404871747
變更	61	61	4.373306774
循環	61	33	5.116477047
個別	61	55	4.498555106
作為	61	31	5.192105008
各國	60	46	4.702559087
入本	60	60	4.381978717
電子	59	43	4.771360238
績效	59	38	4.920113038
禁止	59	59	4.390690736
於該	59	46	4.690203712
島及	59	59	4.390690736
委託	59	23	5.524313281
十五	59	48	4.63898893
以美	59	59	4.390690736
不包	59	59	4.390690736
上開	59	57	4.432190218
上本	59	59	4.390690736
營運	57	41	4.802573995
定期	57	51	4.541354761
單日	57	51	4.541354761
入者	57	57	4.408233109
高股	56	27	5.287754934
聚焦	56	46	4.651840528
產保	56	56	4.417062288
結構	55	54	4.447766929
正常	55	55	4.425929172
完全	55	46	4.638594629
可抗	55	55	4.425929172
事件	55	55	4.425929172
達基	54	51	4.502660701
趨勢	54	24	5.397134211
處理	54	46	4.625105672
股市	54	54	4.434832896
指標	54	26	5.302150449
建設	54	19	5.674356435
市與	54	54	4.434832896
如政	54	54	4.434832896
合中	54	52	4.479617967
依前	54	51	4.502660701
京群	54	54	4.434832896
之主	54	54	4.434832896
目之	53	53	4.443772464
方針	53	53	4.443772464
持高	53	53	4.443772464
展望	53	30	5.117089817
基淨	53	18	5.721467012
品及	53	52	4.466309107
且經	53	53	4.443772464
股債	52	52	4.452746729
情勢	52	46	4.597361718
危機	51	51	4.461754381
貨交	50	27	5.193055139
股及	50	50	4.470793924
股之	50	34	4.922847344
核心	50	20	5.544822071
戰爭	50	50	4.470793924
或買	50	50	4.470793924
以在	50	50	4.470793924
之定	50	49	4.494474482
類別	49	35	4.872976726
較高	49	47	4.528551423
衍生	49	35	4.872976726
與經	49	49	4.479863657
範疇	49	39	4.746546757
等情	49	49	4.479863657
波蘭	49	47	4.528551423
技術	49	28	5.133683663
人或	49	48	4.50395394
之虞	49	49	4.479863657
之成	49	42	4.659963648
之中	49	46	4.553677925
主動	49	39	4.746546757
中的	49	47	4.528551423
額占	48	48	4.48896165
觀察	48	42	4.64445205
及英	48	46	4.53852012
來源	48	47	4.513477256
之母	48	44	4.590281898
與新	47	45	4.548549203
為政	47	39	4.714614491
為之	47	29	5.058424262
尼亞	47	26	5.185147567
匯市	47	47	4.498085715
規模	46	46	4.507233376
票或	46	44	4.558638329
最佳	46	39	4.698135071
或中	46	46	4.507233376
埃及	46	44	4.558638329
型及	46	42	4.612435053
含特	46	41	4.640301969
低估	46	46	4.507233376
交割	46	20	5.470427004
非洲	45	45	4.516401833
計算	45	42	4.595900632
的總	45	45	4.516401833
洲及	45	36	4.773524692
普通	45	45	4.516401833
各子	45	17	5.638083487
及由	45	43	4.568787015
即非	45	45	4.516401833
五年	45	43	4.568787015
之重	45	43	4.568787015
部位	44	25	5.174589044
的物	44	44	4.525587925
的主	44	44	4.525587925
為準	44	35	4.788306497
承兌	44	44	4.525587925
或?	44	44	4.525587925
度之	44	24	5.221454201
實收	44	31	4.927633241
之任	44	44	4.525587925
項第	43	37	4.70666596
違約	43	28	5.025430707
該等	43	41	4.58926032
該受	43	43	4.534788082
西斯	43	43	4.534788082
統計	43	43	4.534788082
的市	43	43	4.534788082
濟體	43	33	4.837517172
業與	43	43	4.534788082
本項	43	43	4.534788082
含可	43	43	4.534788082
及利	43	43	4.534788082
及公	43	40	4.617501281
印?	43	40	4.617501281
列國	43	42	4.561699931
不高	43	31	4.909021756
述各	42	37	4.688401759
財務	42	38	4.65801962
自動	42	36	4.719616388
控制	42	36	4.719616388
所得	42	20	5.389259806
國以	42	42	4.54399827
及匯	42	26	5.090357988
事或	42	37	4.688401759
資料	41	41	4.553213939
社會	41	41	4.553213939
相對	41	31	4.870463806
生物	41	21	5.312396335
澳大	41	41	4.553213939
此外	41	41	4.553213939
業運	41	35	4.732753504
智利	41	41	4.553213939
易對	41	38	4.639436485
挑選	41	35	4.732753504
及受	41	41	4.553213939
匯票	41	37	4.669697415
項所	40	35	4.713328471
源危	40	40	4.562429946
小型	40	27	5.00659177
對象	40	40	4.562429946
定的	40	40	4.562429946
增加	40	32	4.814595614
列外	40	40	4.562429946
之子	40	35	4.713328471
選出	39	39	4.571640484
趨向	39	39	4.571640484
股?	39	12	5.897963343
而逐	39	39	4.571640484
結合	39	39	4.571640484
程度	39	39	4.571640484
為依	39	35	4.693411614
期而	39	39	4.571640484
或由	39	39	4.571640484
及指	39	36	4.661711347
券等	39	39	4.571640484
券以	39	38	4.60087031
列投	39	39	4.571640484
八之	39	39	4.571640484
人工	39	13	5.80789248
之本	39	37	4.63087969
一般	39	39	4.571640484
需要	38	34	4.705454602
除法	38	30	4.845685608
荷?	38	36	4.641415128
芬?	38	36	4.641415128
工程	38	24	5.09569247
屬於	38	38	4.580838982
如下	38	38	4.580838982
利亞	38	38	4.580838982
??	37	13	5.756645141
?麥	37	35	4.651998165
階段	37	16	5.525053364
設定	37	33	4.717626261
蒙古	37	37	4.590018008
無法	37	37	4.590018008
業者	37	7	6.447094136
業機	37	35	4.651998165
於以	37	36	4.620577613
及於	37	37	4.590018008
之金	37	37	4.590018008
中小	37	27	4.941445492
並以	37	34	4.684329584
藉由	36	32	4.729930458
考量	36	27	4.918550342
穩健	36	24	5.049311663
會計	36	20	5.251722881
最後	36	32	4.729930458
市之	36	34	4.662625727
工商	36	36	4.599169137
國交	36	36	4.599169137
及新	36	33	4.69576813
即調	36	36	4.599169137
事項	36	36	4.599169137
資金	35	34	4.640310413
編製	35	32	4.707293025
組成	35	26	4.936708509
爾?	35	33	4.673294197
營收	35	16	5.473133817
汽車	35	10	5.992428942
權益	35	33	4.673294197
從中	35	35	4.608282817
型之	35	35	4.608282817
員國	35	32	4.707293025
匯?	35	11	5.887123135
務之	35	33	4.673294197
創新	35	23	5.072168714
之配	35	23	5.072168714
聯網	34	18	5.316558899
維亞	34	20	5.200724776
潛在	34	22	5.095940066
模式	34	34	4.61734819
數所	34	34	4.61734819
或公	34	24	5.000279121
希?	34	32	4.683999343
在ㄧ	34	34	4.61734819
之事	34	34	4.61734819
?入	33	17	5.351848667
波?	33	31	4.694736213
名單	33	15	5.488749198
及大	33	33	4.626352903
值與	33	21	5.120723703
變動	32	32	4.635282867
經臺	32	32	4.635282867
納入	32	32	4.635282867
率及	32	32	4.635282867
獲得	32	32	4.635282867
提升	32	32	4.635282867
或為	32	12	5.702398428
卡達	32	32	4.635282867
個股	32	25	4.90385992
以其	32	32	4.635282867
亦得	32	32	4.635282867
之交	32	32	4.635282867
?國	31	31	4.644121987
高級	31	19	5.173805645
金至	31	31	4.644121987
準則	31	21	5.065516881
法規	31	31	4.644121987
會員	31	31	4.644121987
支付	31	23	4.967086815
制之	31	31	4.644121987
之權	31	31	4.644121987
較低	30	20	5.089051224
製藥	30	28	4.727074361
著重	30	24	4.892909677
與於	30	30	4.652851824
網路	30	23	4.938695314
獲利	30	21	5.036562761
烏克	30	30	4.652851824
日止	30	18	5.202398077
外證	30	26	4.806799725
增長	30	26	4.806799725
力之	30	30	4.652851824
分類	30	29	4.689323116
全部	30	30	4.652851824
預估	29	11	5.698133842
靈活	29	29	4.661451203
電信	29	29	4.661451203
關係	29	29	4.661451203
益與	29	26	4.778229566
的股	29	16	5.297434471
或有	29	29	4.661451203
後者	29	25	4.820172427
建立	29	29	4.661451203
導致	29	26	4.778229566
及基	29	27	4.737869838
化策	29	16	5.297434471
但在	29	28	4.698978066
之次	29	21	5.006626961
適時	28	28	4.669895737
述信	28	28	4.669895737
製造	28	17	5.200217176
能的	28	28	4.669895737
第一	28	22	4.926199691
率之	28	26	4.748656744
為提	28	28	4.669895737
業等	28	21	4.97564057
因此	28	28	4.669895737
及一	28	28	4.669895737
億元	28	21	4.97564057
以於	28	28	4.669895737
累積	27	15	5.298817568
等與	27	27	4.678157249
第三	27	27	4.678157249
祕?	27	25	4.759422557
監控	27	25	4.759422557
產品	27	22	4.894405376
率的	27	27	4.678157249
業及	27	20	4.995046051
未來	27	25	4.759422557
所交	27	25	4.759422557
彈性	27	23	4.847467521
在地	27	27	4.678157249
因素	27	21	4.943527157
可達	27	27	4.678157249
及附	27	25	4.759422557
述亞	26	17	5.13182464
狀況	26	26	4.686203068
潛力	26	26	4.686203068
本條	26	14	5.335457332
有利	26	26	4.686203068
智?	26	24	4.770152628
效率	26	26	4.686203068
所有	26	26	4.686203068
惟如	26	26	4.686203068
在中	26	26	4.686203068
台幣	26	21	4.910201635
制者	26	26	4.686203068
冰島	26	26	4.686203068
位於	26	18	5.071876347
之人	26	26	4.686203068
三檔	26	13	5.413182485
額佔	25	25	4.693995171
的基	25	25	4.693995171
機關	25	24	4.73650769
機進	25	25	4.693995171
本公	25	23	4.780829788
方法	25	16	5.158763966
府者	25	25	4.693995171
在美	25	25	4.693995171
及收	25	25	4.693995171
及亞	25	23	4.780829788
匯出	25	25	4.693995171
利及	25	24	4.73650769
充分	25	25	4.693995171
主軸	25	25	4.693995171
世界	25	24	4.73650769
?約	24	18	4.998869701
造成	24	24	4.701489116
負面	24	14	5.258656594
設施	24	14	5.258656594
祕魯	24	24	4.701489116
概念	24	18	4.998869701
對外	24	24	4.701489116
季度	24	24	4.701489116
增資	24	16	5.12062351
地位	24	24	4.701489116
含上	24	18	4.998869701
化方	24	13	5.335262939
化學	24	24	4.701489116
債等	24	24	4.701489116
值的	24	24	4.701489116
之所	24	24	4.701489116
並於	24	24	4.701489116
類型	23	21	4.801941144
面狀	23	23	4.708632722
長的	23	15	5.147055793
評鑑	23	19	4.904595283
當時	23	20	4.851984501
求的	23	23	4.708632722
業務	23	17	5.018677789
材料	23	22	4.754226244
日之	23	20	4.851984501
數據	23	11	5.465177165
或國	23	10	5.562935421
或主	23	23	4.708632722
巴嫩	23	23	4.708632722
國不	23	19	4.904595283
和國	23	23	4.708632722
優勢	23	9	5.671002161
係以	23	23	4.708632722
以前	23	23	4.708632722
之經	23	23	4.708632722
零售	22	13	5.250559572
轉率	22	22	4.71536441
輔以	22	22	4.71536441
軟體	22	16	5.039327787
立之	22	22	4.71536441
產生	22	22	4.71536441
洲等	22	22	4.71536441
條第	22	16	5.039327787
於公	22	22	4.71536441
提高	22	22	4.71536441
感測	22	20	4.812323575
性的	22	17	4.977654284
及開	22	22	4.71536441
即將	22	22	4.71536441
件等	22	22	4.71536441
亞等	22	22	4.71536441
之存	22	22	4.71536441
隨時	21	21	4.721611104
陶宛	21	21	4.721611104
間的	21	15	5.060952448
針對	21	11	5.373752076
金不	21	21	4.721611104
週期	21	11	5.373752076
迦納	21	21	4.721611104
航太	21	21	4.721611104
精密	21	20	4.770817304
生產	21	17	4.934722036
標準	21	18	4.877076231
更新	21	21	4.721611104
日匯	21	21	4.721611104
於金	21	21	4.721611104
掌握	21	21	4.721611104
或指	21	21	4.721611104
或依	21	15	5.060952448
將其	21	19	4.822547977
前三	21	21	4.721611104
公告	21	21	4.721611104
依本	21	20	4.770817304
二】	21	21	4.721611104
之標	21	21	4.721611104
中屬	21	21	4.721611104
並不	21	17	4.934722036
額之	20	20	4.727285552
防治	20	20	4.727285552
迄恢	20	20	4.727285552
辦理	20	18	4.83257491
計總	20	20	4.727285552
經由	20	20	4.727285552
系列	20	12	5.237766179
管?	20	18	4.83257491
產或	20	18	4.83257491
環境	20	19	4.778544204
率走	20	20	4.727285552
淨值	20	20	4.727285552
求基	20	20	4.727285552
期的	20	20	4.727285552
最新	20	20	4.727285552
智能	20	8	5.642957448
於每	20	20	4.727285552
於具	20	20	4.727285552
持債	20	20	4.727285552
外的	20	20	4.727285552
含基	20	20	4.727285552
各類	20	18	4.83257491
受上	20	20	4.727285552
十二	20	19	4.778544204
區等	20	20	4.727285552
化與	20	20	4.727285552
公布	20	17	4.889694721
值比	20	14	5.083719608
來自	20	20	4.727285552
且本	20	20	4.727285552
險之	19	19	4.732282861
第十	19	13	5.107844809
獲?	19	13	5.107844809
港及	19	19	4.732282861
歐元	19	17	4.842357324
款之	19	16	4.902354488
業或	19	12	5.187059084
實際	19	18	4.785790493
增值	19	19	4.732282861
因子	19	11	5.273169903
動之	19	19	4.732282861
佔本	19	18	4.785790493
之前	19	19	4.732282861
?含	18	13	5.055211741
食品	18	17	4.792459934
走勢	18	18	4.736475988
設立	18	18	4.736475988
股東	18	18	4.736475988
第八	18	18	4.736475988
由亞	18	12	5.133609763
為輔	18	18	4.736475988
東協	18	13	5.055211741
旨在	18	18	4.736475988
新能	18	14	4.982626509
或該	18	18	4.736475988
或於	18	12	5.133609763
對於	18	18	4.736475988
尋求	18	18	4.736475988
定或	18	18	4.736475988
天然	18	16	4.851838866
外以	18	18	4.736475988
地產	18	15	4.915051276
國與	18	18	4.736475988
品與	18	17	4.792459934
含以	18	16	4.851838866
動等	18	18	4.736475988
利用	18	18	4.736475988
保障	18	18	4.736475988
保加	18	18	4.736475988
伐克	18	18	4.736475988
開放	17	16	4.798435107
述第	17	17	4.739709754
購買	17	11	5.161390032
誤差	17	17	4.739709754
能力	17	17	4.739709754
股為	17	17	4.739709754
特色	17	17	4.739709754
特性	17	17	4.739709754
比?	17	15	4.860951744
機械	17	17	4.739709754
改變	17	17	4.739709754
惠譽	17	16	4.798435107
式基	17	16	4.798435107
度更	17	17	4.739709754
將依	17	17	4.739709754
大型	17	17	4.739709754
原物	17	15	4.860951744
即本	17	15	4.860951744
十億	17	12	5.077104578
利差	17	17	4.739709754
位之	17	17	4.739709754
之實	17	12	5.077104578
上巿	17	12	5.077104578
電腦	16	13	4.940552944
關公	16	10	5.191697764
